iter	Passed	Remaining
0	1	194
1	3	170
2	4	142
3	5	128
4	6	126
5	7	123
6	9	129
7	11	131
8	12	131
9	14	130
10	16	135
11	17	129
12	19	128
13	20	126
14	22	126
15	24	127
16	25	126
17	28	128
18	29	127
19	31	125
20	33	125
21	34	123
22	36	121
23	37	118
24	39	117
25	40	115
26	42	114
27	43	113
28	45	110
29	47	110
30	48	108
31	50	106
32	51	104
33	52	102
34	53	99
35	54	96
36	55	94
37	56	92
38	57	90
39	58	87
40	59	85
41	59	82
42	61	80
43	61	78
44	63	77
45	64	75
46	65	73
47	67	72
48	68	70
49	69	69
50	70	67
51	71	66
52	73	64
53	74	63
54	75	61
55	76	59
56	76	57
57	77	56
58	79	54
59	80	53
60	81	52
61	82	50
62	83	48
63	84	47
64	85	46
65	86	44
66	87	43
67	88	41
68	89	40
69	90	38
70	92	37
71	93	36
72	94	34
73	95	33
74	96	32
75	97	30
76	99	29
77	100	28
78	101	26
79	102	25
80	103	24
81	104	23
82	105	21
83	106	20
84	107	18
85	108	17
86	109	16
87	110	15
88	111	13
89	112	12
90	114	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	122	1
99	124	0
